               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.046389,             0.29237,            0.029555,             0.82911,             0.41532,             0.49021,             0.29821,             0.03924,             0.15237,            0.029516,             0.00307,             0.00307,             0.00307
                  72,            0.046228,             0.31081,            0.030015,             0.81466,             0.43302,             0.48088,              0.2754,            0.040295,             0.15891,            0.029408,            0.002971,            0.002971,            0.002971
                  73,            0.046093,             0.26943,            0.029017,              0.8357,              0.4398,             0.50154,             0.30356,            0.039366,             0.15475,            0.029347,            0.002872,            0.002872,            0.002872
                  74,            0.043922,             0.25391,            0.030593,             0.83168,             0.43918,             0.48428,             0.28193,            0.040679,             0.15553,            0.029231,            0.002773,            0.002773,            0.002773
                  75,            0.046193,             0.25567,            0.029015,             0.84742,             0.44324,             0.50348,              0.3117,            0.038213,             0.15027,            0.029174,            0.002674,            0.002674,            0.002674
                  76,             0.04273,             0.28654,            0.029452,             0.82448,              0.4454,             0.48968,             0.30388,            0.037905,             0.14988,            0.029112,            0.002575,            0.002575,            0.002575
                  77,            0.043585,             0.27513,            0.029103,             0.83924,             0.44245,             0.50732,             0.30081,            0.039615,             0.15267,            0.029024,            0.002476,            0.002476,            0.002476
                  78,            0.046142,             0.29598,            0.029877,             0.83308,             0.44276,              0.5001,             0.31237,            0.036881,             0.14846,            0.028972,            0.002377,            0.002377,            0.002377
                  79,            0.043746,             0.29538,            0.028604,             0.85474,             0.42813,             0.51032,             0.30988,            0.037915,             0.14942,             0.02889,            0.002278,            0.002278,            0.002278
                  80,            0.043417,             0.28461,            0.028624,             0.85223,              0.4292,             0.49968,             0.30572,            0.037329,             0.14933,            0.028807,            0.002179,            0.002179,            0.002179
                  81,            0.042894,             0.26482,            0.029158,             0.86183,             0.42734,             0.51546,             0.32327,            0.037373,              0.1488,            0.028754,             0.00208,             0.00208,             0.00208
                  82,            0.042882,              0.2822,            0.027689,             0.84318,             0.41567,             0.49175,             0.30848,            0.037141,             0.14796,             0.02868,            0.001981,            0.001981,            0.001981
                  83,             0.04201,             0.25261,            0.028608,             0.85919,             0.42827,             0.51553,             0.32225,            0.037161,             0.14785,            0.028612,            0.001882,            0.001882,            0.001882
                  84,             0.04143,             0.25428,             0.02898,             0.84253,             0.42578,             0.49808,             0.31811,            0.036235,             0.14673,            0.028572,            0.001783,            0.001783,            0.001783
                  85,            0.041886,             0.27551,            0.027837,             0.86377,             0.42723,              0.5145,             0.32479,            0.036282,             0.14851,            0.028542,            0.001684,            0.001684,            0.001684
                  86,             0.04232,             0.27947,            0.027638,             0.83827,             0.41912,             0.49458,              0.3107,             0.03686,             0.14907,             0.02849,            0.001585,            0.001585,            0.001585
                  87,            0.041479,             0.30077,            0.028127,             0.81721,             0.44618,             0.51177,             0.33008,            0.035137,             0.14739,            0.028434,            0.001486,            0.001486,            0.001486
                  88,            0.040033,             0.26694,            0.027623,             0.83639,              0.4394,             0.51428,             0.32702,            0.035582,             0.14774,            0.028347,            0.001387,            0.001387,            0.001387
                  89,            0.039441,              0.2697,            0.028126,             0.83111,             0.44541,             0.51429,             0.33169,            0.035254,             0.14582,            0.028282,            0.001288,            0.001288,            0.001288
                  90,            0.040167,             0.26309,            0.028017,             0.83579,             0.45669,             0.52073,             0.32606,            0.035732,             0.14685,            0.028234,            0.001189,            0.001189,            0.001189
                  91,            0.041575,              0.2871,            0.027505,             0.83473,             0.44762,             0.51207,             0.32803,            0.035027,             0.14546,            0.028178,             0.00109,             0.00109,             0.00109
                  92,            0.040526,             0.28014,            0.028982,             0.82621,             0.46711,             0.51027,             0.32938,            0.034707,             0.14766,            0.028176,            0.000991,            0.000991,            0.000991
                  93,            0.038502,             0.24722,             0.02802,             0.83219,             0.46971,             0.52035,             0.33689,            0.034574,             0.14684,            0.028119,            0.000892,            0.000892,            0.000892
                  94,            0.040007,             0.25922,            0.028089,             0.86157,              0.4313,             0.52032,             0.33621,            0.034821,             0.14688,            0.028036,            0.000793,            0.000793,            0.000793
                  95,            0.039217,              0.2573,            0.028464,             0.85303,             0.42744,             0.51163,             0.33572,            0.034426,             0.14534,            0.027998,            0.000694,            0.000694,            0.000694
                  96,            0.039331,             0.26052,            0.028033,             0.85225,             0.42731,             0.51161,             0.33757,            0.034273,             0.14514,            0.027966,            0.000595,            0.000595,            0.000595
                  97,            0.037812,             0.24991,            0.026877,             0.81943,             0.47152,             0.51483,             0.33713,            0.034313,              0.1448,            0.027933,            0.000496,            0.000496,            0.000496
                  98,            0.040297,             0.26829,            0.028901,             0.82022,             0.46376,             0.51231,             0.33557,            0.034394,             0.14483,            0.027902,            0.000397,            0.000397,            0.000397
                  99,            0.037864,             0.23647,            0.028629,             0.80972,             0.46406,             0.51026,             0.33516,            0.034335,             0.14495,            0.027877,            0.000298,            0.000298,            0.000298
